file,sheet,nrows,ncols,status,reason
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-3-19段压裂施工-1、2、4、5、6、7、8井分点压力监测.xls,导出数据,374,8,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-3-19段压裂施工-1、2、4、5、6、7、8井秒点压力监测.xls,导出数据,22204,8,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-3-20段压裂施工-1、2、4、5、6、7、8井分点压力监测.xls,导出数据,149,8,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-3-20段压裂施工-1、2、4、5、6、7、8井秒点压力监测.xls,导出数据,8704,8,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-18段压裂施工-1、2、3、5、6、7、8井分点压力监测-2.xls,导出数据,234,8,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-18段压裂施工-1、2、3、5、6、7、8井分点压力监测.xls,导出数据,234,8,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-18段压裂施工-1、2、3、5、6、7、8井秒点压力监测-2.xls,导出数据,13804,8,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-18段压裂施工-1、2、3、5、6、7、8井秒点压力监测.xls,导出数据,13804,8,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-19段压裂施工-1、2、3、5、6、7、8井分点压力监测.xls,导出数据,269,8,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-19段压裂施工-1、2、3、5、6、7、8井秒点压力监测.xls,导出数据,15904,8,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-1段压裂施工-1、2、3、5、6、7、8井分点压力监测.xls,导出数据,179,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-1段压裂施工-1、2、3、5、6、7、8井秒点压力监测.xls,导出数据,10504,8,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-20段压裂施工-1、2、3、5、6、7、8井分点压力监测-2.xls,导出数据,304,8,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-20段压裂施工-1、2、3、5、6、7、8井分点压力监测.xls,导出数据,304,8,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-20段压裂施工-1、2、3、5、6、7、8井秒点压力监测-2.xls,导出数据,18004,8,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-20段压裂施工-1、2、3、5、6、7、8井秒点压力监测.xls,导出数据,18004,8,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-21段压裂施工-1、2、3、5、6、7、8井分点压力监测.xls,导出数据,314,8,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-21段压裂施工-1、2、3、5、6、7、8井秒点压力监测.xls,导出数据,18604,8,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-2段压裂施工-1、2、3、5、6、7、8井分点压力监测.xls,导出数据,179,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-2段压裂施工-1、2、3、5、6、7、8井秒点压力监测.xls,导出数据,10504,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-3段压裂施工-1、2、3、5、6、7、8井秒点压力监测.xls,导出数据,10204,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-4段压裂施工-1、2、3、5、6、7、8井分点压力监测.xls,导出数据,160,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-4段压裂施工-1、2、3、5、6、7、8井秒点压力监测.xls,导出数据,9364,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-8段压裂施工-1、2、3、5、6、7、8井分点压力监测.xls,导出数据,346,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-8段压裂施工-1、2、3、5、6、7、8井秒点压力监测.xls,导出数据,20524,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-9段压裂施工-1、2、3、5、6、7、8井分点压力监测.xls,导出数据,174,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4-9段压裂施工-1、2、3、5、6、7、8井秒点压力监测.xls,导出数据,10204,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4第19段压裂主泵注(邻井叠合图).xlsx,封面,13,5,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4第19段压裂主泵注(邻井叠合图).xlsx,基础参数,45,7,非时序压力表,工况、数量或阶段汇总表
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4第19段压裂主泵注(邻井叠合图).xlsx,施工设计,68,12,非时序压力表,工况、数量或阶段汇总表
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4第19段压裂主泵注(邻井叠合图).xlsx,阶段汇总,69,25,非时序压力表,工况、数量或阶段汇总表
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4第19段压裂主泵注(邻井叠合图).xlsx,曲线图,0,0,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4第19段压裂主泵注(邻井叠合图).xlsx,分点数据,387,12,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4第19段压裂主泵注(邻井叠合图).xlsx,秒点数据,17672,18,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4第19段压裂主泵注(邻井叠合图).xlsx,暂堵剂,2,7,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4第19段压裂主泵注(邻井叠合图).xlsx,砂液统计,9,3,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-4第19段压裂主泵注(邻井叠合图).xlsx,Sheet1,3,2,无可用序列,空表或有效行列过少
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-5-11段压裂施工-1、2、3、4、6、7、8井分点压力监测.xls,导出数据,186,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-5-11段压裂施工-1、2、3、4、6、7、8井秒点压力监测.xls,导出数据,10924,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-5-12段压裂施工-1、2、3、4、6、7、8井分点压力监测.xls,导出数据,184,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-5-12段压裂施工-1、2、3、4、6、7、8井秒点压力监测.xls,导出数据,10804,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-5-13段压裂施工-1、2、3、4、6、7、8井分点压力监测.xls,导出数据,170,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-5-13段压裂施工-1、2、3、4、6、7、8井秒点压力监测.xls,导出数据,9964,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-5-14段压裂施工-1、2、3、4、6、7、8井分点压力监测.xls,导出数据,189,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-5-14段压裂施工-1、2、3、4、6、7、8井秒点压力监测.xls,导出数据,11104,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-5-3段压裂施工-1、2、3、4、6、7、8井分点压力监测.xls,导出数据,159,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-5-3段压裂施工-1、2、3、4、6、7、8井秒点压力监测.xls,导出数据,9304,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-5-4段压裂施工-1、2、3、4、6、7、8井分点压力监测.xls,导出数据,159,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-5-4段压裂施工-1、2、3、4、6、7、8井秒点压力监测.xls,导出数据,9304,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-5-5段压裂施工-1、2、3、4、6、7、8井分点压力监测.xls,导出数据,154,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-5-5段压裂施工-1、2、3、4、6、7、8井秒点压力监测.xls,导出数据,9004,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-5-6段压裂施工-1、2、3、4、6、7、8井分点压力监测.xls,导出数据,154,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-5-6段压裂施工-1、2、3、4、6、7、8井秒点压力监测.xls,导出数据,9004,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-5-7段压裂施工-1、2、3、4、6、7、8井秒点压力监测.xls,导出数据,8884,9,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-5-7段压裂施工-1、2、4、6、7、8井分点压力监测.xls,导出数据,152,9,未提取压力通道,0个通道
