file,sheet,monitor,points,reason
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-8段压裂施工-2井秒点压力监测.xls,导出数据,2,15181,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-8段压裂施工-6井分点压力监测.xls,导出数据,6,254,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-5-23段压裂施工-6井分点压力监测.xls,导出数据,6,156,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-5-23段压裂施工-6井秒点压力监测.xls,导出数据,6,9301,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-5-4段压裂施工-4井分点压力监测.xls,导出数据,4,301,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-5-4段压裂施工-4井秒点压力监测.xls,导出数据,4,18001,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-5-8段压裂施工-4井分点压力监测.xls,导出数据,4,261,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-5-8段压裂施工-4井秒点压力监测.xls,导出数据,4,15601,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-6-10段压裂施工-4井分点压力监测.xls,导出数据,4,157,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-6-10段压裂施工-4井秒点压力监测.xls,导出数据,4,9361,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-6-11段压裂施工-4井分点压力监测.xls,导出数据,4,251,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-6-11段压裂施工-4井秒点压力监测.xls,导出数据,4,15001,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-6-12段压裂施工-4井分点压力监测.xls,导出数据,4,250,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-6-12段压裂施工-4井秒点压力监测.xls,导出数据,4,14941,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-6-13段压裂施工-4井分点压力监测.xls,导出数据,4,253,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-6-13段压裂施工-4井秒点压力监测.xls,导出数据,4,15121,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-6-14段压裂施工-4井分点压力监测.xls,导出数据,4,303,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-6-15段压裂施工-4井分点压力监测.xls,导出数据,4,350,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-6-15段压裂施工-4井秒点压力监测.xls,导出数据,4,20941,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-6-18段压裂施工-4井分点压力监测.xls,导出数据,4,318,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-6-18段压裂施工-4井秒点压力监测.xls,导出数据,4,19021,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-6-19段压裂施工-4井分点压力监测.xls,导出数据,4,302,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-6-19段压裂施工-4井秒点压力监测.xls,导出数据,4,18061,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-6-20段压裂施工-4井分点压力监测.xls,导出数据,4,324,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-6-20段压裂施工-4井秒点压力监测.xls,导出数据,4,19381,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-6-4段压裂施工-4井分点压力监测.xls,导出数据,4,466,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-6-4段压裂施工-4井秒点压力监测.xls,导出数据,4,27901,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-6-9段压裂施工-2井分点压力监测.xls,导出数据,2,222,新解析器未识别，保留旧解析器有效通道
