sample_id,platform_id,source_well,stage_id,monitor_well,cluster,boundary_flag,resamples_present,aligned_label_agreement
8d11691f39424b,泸206H8,5,6,1,C1,False,87,1.0
8d9b8115771d11,泸201H5,4,17,1,C1,False,80,1.0
8e175407c3208a,泸203H76,3,16,4,C1,False,82,1.0
8e3c4557838265,泸208H1,5,9,4,C2,False,80,1.0
8e3fcefd00b5f3,泸201H5,3,13,2,C1,False,79,1.0
90558059b98543,泸201H5,2,6,1,C1,False,79,1.0
90b064c522edc4,泸201H5,1,22,3,C1,False,75,1.0
91cfd1622ce1a1,泸201H5,4,12,1,C1,False,79,1.0
9220b32ea8aebc,泸201H5,4,14,2,C1,False,82,1.0
92b61bd93cc7b2,泸201H5,4,1,3,C2,False,89,1.0
92fcc8d0ab389d,泸201H5,3,2,2,C1,False,78,1.0
930fcb4c9d97f7,泸201H5,4,27,2,C1,False,76,1.0
93177db24bacfd,泸203H66,3,25,1,C1,False,86,1.0
932c7037c34d65,泸203H64,5,12,4,C1,False,88,1.0
933299e0830b5d,泸208H2,10,16,9,C2,False,81,1.0
93d8408db2d129,泸201H5,1,4,2,C1,False,82,1.0
945620d24eaac9,泸201H5,3,16,2,C1,False,92,1.0
94627054f653d0,泸201H5,4,12,2,C1,False,79,1.0
94807a8a25ebcf,泸201H5,4,24,3,C2,False,79,1.0
951076446d3f90,泸201H5,1,8,4,C1,False,77,1.0
95f242025d01e6,泸203H76,3,3,4,C1,False,82,1.0
97e4e0ec81cdac,泸201H5,4,21,2,C1,False,79,1.0
98973fb8d636b7,泸203H153,5,13,6,C1,False,79,1.0
99ec2b2ab4f691,泸203H64,4,3,5,C1,False,86,1.0
9b9342dc222eda,泸201H5,1,20,2,C1,False,80,1.0
9bbdaa6740a3a8,泸201H5,2,17,4,C1,False,77,1.0
9bbf61a0278e0b,泸201H5,3,18,1,C1,False,82,1.0
9ca920c53e4043,泸201H5,2,3,3,C1,False,87,1.0
9cb17af2b6f89d,泸208H1,5,16,4,C2,False,84,1.0
9cb61113b67c1a,泸201H5,2,5,4,C1,False,80,1.0
9e606d7f29b516,泸201H5,3,15,2,C1,False,78,1.0
9e979ae2db99f0,泸201H5,1,20,4,C1,False,80,1.0
9edd3050cbb7ae,泸203H9,3,3,1,C1,False,100,1.0
9f0819624f623e,泸203H11,1,3,8,C2,False,86,1.0
9f1f56354ddd28,泸208H1,4,4,3,C2,False,82,1.0
a029b4f6f079e4,泸208H2,10,5,9,C2,False,80,1.0
a115587e3b6c43,泸201H5,3,16,1,C1,False,92,1.0
a3bc67116f79d4,泸208H2,10,13,9,C1,False,76,1.0
a3bdecdf30f4a2,泸206H8,5,7,6,C1,False,85,1.0
a41fa41a69a152,泸203H153,6,21,5,C2,False,74,1.0
a595b50564f97a,泸201H5,1,19,4,C1,False,82,1.0
a616b6f05d30d0,泸201H5,4,6,2,C1,False,78,1.0
a640800ca0702d,泸203H64,4,10,2,C1,False,84,1.0
a7336aaca49fc0,泸201H5,2,15,3,C1,False,82,1.0
a74dcae613276e,泸201H5,4,27,3,C2,False,76,1.0
a966ad83faf7fd,泸203H64,4,9,5,C1,False,89,1.0
a98967c04aeee7,泸206H8,5,7,8,C1,False,85,1.0
a9917edd2cb8f4,泸201H5,2,2,1,C1,False,79,1.0
aa36dddb47daae,泸201H5,2,24,3,C1,False,82,1.0
aa84d7807b8db3,泸201H5,4,20,2,C1,False,78,1.0
aab45ad11b0de2,阳101H35,1,5,2,C2,False,84,1.0
ab40e566b8fab3,泸201H5,4,10,1,C1,False,72,1.0
ac85ba2ee13fec,泸203H64,3,1,1,C1,False,85,1.0
ad3bcf82e0d306,泸203H64,4,2,3,C2,False,85,1.0
ad7b4737451f09,泸201H5,4,17,3,C1,False,80,1.0
adfbb563cbabed,泸201H5,2,13,1,C1,False,83,1.0
ae03c4bdfb9e5c,泸208H1,5,4,6,C2,False,83,1.0
ae7cc1a1f308c3,泸201H5,3,16,4,C2,False,92,1.0
aeebc0d5c31e5f,泸203H66,3,25,2,C2,False,86,1.0
af36904be73fe9,泸201H5,3,13,1,C1,False,79,1.0
afaa7cb77d16ee,泸203H76,3,16,2,C1,False,82,1.0
afbdfc35a79375,阳101H34,2,9,3,C1,False,80,1.0
b0502c22af22ee,泸206H8,5,4,8,C1,False,84,1.0
b13a3aa1c79bb5,泸203H66,3,12,1,C1,False,85,1.0
b15987fed7beb4,泸201H5,2,6,3,C1,False,79,1.0
b15d0a7f08f2fe,泸201H5,1,8,3,C1,False,77,1.0
b1a78618e59a23,泸208H2,7,6,8,C1,False,83,1.0
b20a7c2dbc4fe0,泸201H5,1,12,3,C1,False,77,1.0
b2ae5ff8e5d39d,阳101H37,3,9,2,C1,False,100,1.0
b41e6a1c145646,泸203H64,4,8,5,C1,False,79,1.0
b4631faaaa981e,泸201H5,2,20,4,C1,False,77,1.0
b50fac778499ad,泸201H5,2,6,4,C1,False,79,1.0
b5f7bf685de5c1,泸203H64,4,8,2,C1,False,79,1.0
b65e99a96374a3,泸208H1,5,14,4,C2,False,82,1.0
b748824af4c0af,泸201H5,4,20,1,C1,False,78,1.0
b8de6b5eb08e53,泸201H5,2,22,4,C1,False,79,1.0
b9d8c536850c71,泸203H64,3,1,2,C1,False,85,1.0
ba9afb651ef719,阳101H34,3,22,2,C2,False,85,1.0
baaf3c2600e78f,泸201H5,3,15,4,C2,False,78,1.0
bafebe77e93990,泸201H5,3,10,2,C1,False,84,1.0
bb232c459d9e5f,阳101H51,2,16,1,C2,False,77,1.0
bb7e5a86a05263,泸208H2,7,2,6,C1,False,78,1.0
bc033af54c1760,泸201H5,2,13,3,C1,False,83,1.0
bc09293c35c72c,泸201H5,3,3,2,C1,False,79,1.0
bd38bbb097651c,泸201H5,4,19,1,C1,False,80,1.0
bd69ada0deb90c,泸208H2,8,10,10,C1,False,83,1.0
be52abbfddcd63,泸201H5,2,2,3,C1,False,79,1.0
be741a37611d22,泸201H5,2,14,1,C1,False,73,1.0
bef0dbf1efd8bd,泸201H5,4,5,3,C2,False,75,1.0
bf22361c022a86,泸201H5,4,13,1,C1,False,78,1.0
bf37b58f032054,泸208H1,5,3,6,C2,False,81,1.0
c0b70bc5b6053d,泸203H64,4,8,1,C1,False,79,1.0
c142553a20a7c2,泸203H9,3,3,4,C2,False,100,1.0
c21471be7cb555,泸208H2,8,14,9,C2,False,79,1.0
c21b1e13b2169c,泸203H64,3,7,5,C1,False,83,1.0
c2acc9f5806036,泸201H5,1,9,2,C1,False,78,1.0
c2b0b2124401b6,泸201H5,2,4,3,C1,False,83,1.0
c2b862b894803a,泸208H2,9,16,10,C2,False,85,1.0
c4109edc8dfa86,泸203H64,3,7,1,C1,False,83,1.0
c45e3a4e9fe719,泸201H5,1,16,2,C1,False,76,1.0
c5516cdae8b81d,泸203H64,4,11,2,C1,False,85,1.0
c5ce3b0ec16b35,泸208H1,4,3,5,C2,False,88,1.0
c64bd582ada5c9,泸208H1,4,13,5,C2,False,87,1.0
c675216173b228,泸208H1,5,23,4,C2,False,80,1.0
c67b7fc2809d07,阳101H35,3,8,4,C1,False,86,1.0
c70a23de5eee9e,泸203H11,1,6,2,C2,False,88,1.0
c7130c17f9aa79,泸203H66,1,20,2,C2,False,82,1.0
c7cbf23d6b7b44,泸201H5,1,8,2,C1,False,77,1.0
c7d58fb027bf4a,泸206H8,5,3,1,C1,False,84,1.0
c80e5388a077f1,阳101H33,3,5,4,C2,False,88,1.0
c83506389cee3a,泸208H2,8,11,9,C2,False,81,1.0
c8578ed28076ac,泸206H8,4,3,1,C1,False,81,1.0
c8ea1ee8b7d7c0,阳101H33,2,7,3,C2,False,81,1.0
